date,status,data_close,description,source
2026-01-01,closed,,New Year's Day,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-03-19,half_day,12:30,Eve of Ramadan Feast,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-03-20,closed,,Ramadan Feast,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-04-23,closed,,National Sovereignty and Children's Day,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-05-01,closed,,Labor and Solidarity Day,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-05-19,closed,,Commemoration of Atatürk Youth and Sports Day,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-05-26,half_day,12:30,Eve of Eid Al-Adha,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-05-27,closed,,Eid Al-Adha,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-05-28,closed,,Eid Al-Adha,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-05-29,closed,,Eid Al-Adha,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-07-15,closed,,Democracy and National Unity Day,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-10-28,half_day,12:30,Eve of Republic Day,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
2026-10-29,closed,,Republic Day,https://www.borsaistanbul.com/files/equity-market-2026-holiday-schedule.pdf
